prompt,outdir,skip_grid,skip_save,ddim_steps,fixed_code,ddim_eta,n_iter,H,W,C,f,n_samples,n_rows,scale,device,from_file,seed,unet_bs,turbo,precision,format,sampler,ckpt,s_path_file
The roof looked like it was made of green and red candies.,outputs/txt2img-samples,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,5234,1,False,autocast,png,plms,models/ldm/stable-diffusion-v1/model.ckpt,
Hansel was starving.,outputs/txt2img-samples,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,1922,1,False,autocast,png,plms,models/ldm/stable-diffusion-v1/model.ckpt,
So he ran to the house and broke off a piece of the wall.,outputs/txt2img-samples,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,5012,1,False,autocast,png,plms,models/ldm/stable-diffusion-v1/model.ckpt,
"""This tastes like a lemon cookie!"" he said, surprised.",outputs/txt2img-samples,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,4821,1,False,autocast,png,plms,models/ldm/stable-diffusion-v1/model.ckpt,
Hansel and Gretel seeing the gingerbread cottage,outputs/txt2img-samples,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,4558,1,False,autocast,png,plms,models/ldm/stable-diffusion-v1/model.ckpt,
Gretel grabbed a piece of a window and stuffed it in her mouth.,outputs/txt2img-samples,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,5713,1,False,autocast,png,plms,models/ldm/stable-diffusion-v1/model.ckpt,
"""This is chocolate!""",outputs/txt2img-samples,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,1739,1,False,autocast,png,plms,models/ldm/stable-diffusion-v1/model.ckpt,
The children could not stop eating.,outputs/txt2img-samples,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,3294,1,False,autocast,png,plms,models/ldm/stable-diffusion-v1/model.ckpt,
"""We'll stay here forever,"" Hansel declared, munching on the apple pie porch.",outputs/txt2img-samples,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,6837,1,False,autocast,png,plms,models/ldm/stable-diffusion-v1/model.ckpt,
They were just about to try a piece of the purple candy door when it quietly swung open.,outputs/txt2img-samples,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,8216,1,False,autocast,png,plms,models/ldm/stable-diffusion-v1/model.ckpt,
"""Hello!"" said an old woman from behind the door.",outputs/txt2img-samples,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,4203,1,False,autocast,png,plms,models/ldm/stable-diffusion-v1/model.ckpt,
"""Do you children like sweets? I have more inside the house! Come in! Come in! Don’t be afraid!""",outputs/txt2img-samples,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,8629,1,False,autocast,png,plms,models/ldm/stable-diffusion-v1/model.ckpt,
"The old woman looked kind and friendly, so the two children went inside.",outputs/txt2img-samples,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,6672,1,False,autocast,png,plms,models/ldm/stable-diffusion-v1/model.ckpt,
Oh no!,outputs/txt2img-samples,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,469,1,False,autocast,png,plms,models/ldm/stable-diffusion-v1/model.ckpt,
Bad idea!,outputs/txt2img-samples,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,731,1,False,autocast,png,plms,models/ldm/stable-diffusion-v1/model.ckpt,
The old woman was not kind and friendly at all.,outputs/txt2img-samples,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,4272,1,False,autocast,png,plms,models/ldm/stable-diffusion-v1/model.ckpt,
She was an evil witch!,outputs/txt2img-samples,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,1962,1,False,autocast,png,plms,models/ldm/stable-diffusion-v1/model.ckpt,
"As soon as Hansel and Gretel were inside, she slammed the door and locked it.",outputs/txt2img-samples,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,6939,1,False,autocast,png,plms,models/ldm/stable-diffusion-v1/model.ckpt,
The children were trapped.,outputs/txt2img-samples,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,2459,1,False,autocast,png,plms,models/ldm/stable-diffusion-v1/model.ckpt,
The evil witch grabbing Hansel's arm,outputs/txt2img-samples,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,3329,1,False,autocast,png,plms,models/ldm/stable-diffusion-v1/model.ckpt,
The witch grabbed Hansel by his wrist.,outputs/txt2img-samples,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,3496,1,False,autocast,png,plms,models/ldm/stable-diffusion-v1/model.ckpt,
